Name,Link,Publisher,Score /5,Summary,created time,year,만들고 참여한 사람,상태,종류
"새는 봄을 기다리지 않는다 ",,,⭐️⭐️⭐️,,2024년 7월 10일 오후 8:47,2024,한동혁,진행중,Graphic Book
죽도 사무라이,,,SUPERSUPER,,2024년 7월 12일 오후 11:41,2024,마츠모토 타이요,,Graphic Book
치와와,,,⭐️⭐️⭐️⭐️,,2024년 7월 16일 오전 11:59,2024,오카자키 쿄고,진행중,Graphic Book
럭키 아가씨의 새로운 일,,,⭐️⭐️⭐️,,2024년 7월 18일 오후 9:20,2024,,,Graphic Book
재채기,,,⭐️⭐️⭐️,,2024년 7월 18일 오후 9:20,2024,우라사와 나오키,,Graphic Book
데드풀 3,,,⭐️⭐️⭐️,,2024년 8월 12일 오후 10:45,2024,,완주,Film
수이와 그림자,,,⭐️⭐️⭐️⭐️,,2024년 8월 12일 오후 10:46,2024,,,Graphic Book
트랜스 휴머니즘,,,⭐️⭐️⭐️⭐️,,2024년 8월 12일 오후 10:47,2024,,완주,Graphic Book
메추리의 시간,,,⭐️⭐️⭐️,경미가 좋아할것 같다. 탐조,2024년 8월 12일 오후 10:47,2024,,진행중,Graphic Book
사랑의 바다,,,⭐️⭐️⭐️⭐️⭐️,대사 없음. 감정을 이끄는 연출/ 바다라는 계에 관한 작가의 관점이 흥미로눔. 생태-평화-개인의 안온한 사랑까지,2024년 8월 12일 오후 10:48,2024,,완주,Graphic Book
건강하고 문화적인 최저한도의 생활,,,,"사회복지 공무원, 최저생활비 지원에 과놘 이야기",2024년 8월 12일 오후 10:49,2024,,진행중,Graphic Book
울고 싶은 밤의 디저트 가게,,,⭐️⭐️⭐️⭐️,우럿어. 스토리텔링 위로의 음식,2024년 8월 12일 오후 10:50,2024,,완주,Graphic Book
노부나가의 셰프,,,⭐️⭐️⭐️⭐️⭐️,"꽤 재밌다. 강렬하진 않아도 탄탄하다. 노부나가라는 인물, 재밌는 세계관 + 음식",2024년 8월 12일 오후 10:51,2024,,진행중,Graphic Book
시가테라,,,SUPERSUPER,,2024년 8월 12일 오후 10:52,2024,,완주,Graphic Book
표류교실,,,⭐️⭐️⭐️⭐️⭐️,,2024년 8월 12일 오후 10:53,2024,,완주,Graphic Book
엄마들,,,⭐️⭐️⭐️⭐️⭐️,,2024년 8월 12일 오후 10:53,2024,,완주,Graphic Book
동경일일,,,SUPERSUPER,,2024년 8월 12일 오후 10:54,2024,마츠모토 타이요,완주,Graphic Book
수화 배우는 만화,,,⭐️⭐️⭐️,,2024년 8월 12일 오후 10:55,2024,,,Graphic Book
수평선,,,⭐️⭐️⭐️⭐️,,2024년 8월 23일 오전 2:08,2024,,완주,Graphic Book
베르세르크,,,SUPERSUPER,,2024년 8월 23일 오전 2:08,2024,,진행중,Graphic Book
데드미트 패러독스,,,⭐️⭐️⭐️⭐️,,2024년 8월 23일 오전 2:09,2024,,완주,Graphic Book
토르 러브앤썬더,,,⭐️⭐️⭐️,,2024년 8월 23일 오전 2:10,2024,,완주,Film
괴수8호 1기,,,⭐️⭐️⭐️⭐️,,2024년 8월 23일 오전 2:10,2024,,완주,TV Series
날씨의 맛,,,,,2024년 8월 23일 오전 2:34,2024,,진행중,Book
퍼펙트 데이즈,,,SUPERSUPER,,2024년 9월 5일 오전 1:54,2024,"빔 벤더스, 야쿠쇼 코지",완주,Film
,,,,,2024년 9월 5일 오전 1:59,,,,Film
이토록 사소한 것들,,,,,2024년 9월 5일 오후 1:12,,클레어 키건,완주,Book
인티사르의 자동차,,,,,2024년 9월 5일 오후 1:13,2024,,완주,Graphic Book
룩백(영화),,,,Back을 계속 가지고 가면서 꿈-우정에 대한 자연스러운.. 감정들에 대해 생생한 묘사. 우선 애니매이션 자체가 너무 퀄리티가 높았다.. 끌어준다-끌고간다에 대한 서로에 대한 의존성,2024년 9월 7일 오후 11:53,2024,,진행중,Graphic Book
사토라레,,,,,2024년 9월 10일 오후 9:26,2024,,완주,Graphic Book
이상한 집,,,,,2024년 9월 28일 오후 3:30,2024,,진행중,Graphic Book
굿모닝 예루살렘,,,,,2024년 10월 8일 오전 9:49,2024,,완주,Graphic Book
데이빗,,,,,2024년 10월 8일 오전 9:49,2024,,진행중,Graphic Book
한나 아렌트 세 번의 탈출,,,,,2024년 10월 8일 오전 9:49,2024,,진행중,Graphic Book
바다를 달리는 엔딩크레딧,,,,,2024년 10월 8일 오전 9:50,2024,,진행중,Graphic Book
제철동 사람들,,,,,2024년 10월 8일 오전 9:51,2024,,완주,Graphic Book
